step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
197,0.23711,0.91884,,,,
198,0.27071,0.91594,,,,
199,0.27707,0.90435,,,,
200,0.29573,0.88986,0.3293,0.89855,,
201,0.30222,0.90435,,,,
202,0.23709,0.91884,,,,
203,0.29948,0.88116,,,,
204,0.24936,0.91304,,,,
205,0.22062,0.94783,,,,
206,0.2871,0.89565,,,,
207,0.29517,0.90145,,,,
208,0.24639,0.91594,,,,
209,0.23343,0.93043,,,,
210,0.26017,0.91014,,,,
211,0.27852,0.91304,,,,
212,0.20989,0.93623,,,,
213,0.25484,0.91304,,,,
214,0.23003,0.93913,,,,
215,0.29466,0.89565,,,,
216,0.27075,0.90725,,,,
217,0.27743,0.90145,,,,
218,0.32051,0.88696,,,,
219,0.23638,0.91014,,,,
220,0.27501,0.90725,,,,
221,0.28201,0.89275,,,,
222,0.24413,0.91594,,,,
223,0.27252,0.90145,,,,
224,0.24495,0.90725,,,,
225,0.27395,0.91884,,,,
226,0.26553,0.91304,,,,
227,0.30384,0.89855,,,,
228,0.25828,0.91594,,,,
229,0.232,0.92464,,,,
230,0.27126,0.90725,,,,
231,0.32231,0.87536,,,,
232,0.28224,0.90435,,,,
233,0.28167,0.90145,,,,
234,0.28257,0.88696,,,,
235,0.23904,0.92754,,,,
236,0.27389,0.89275,,,,
237,0.24221,0.90725,,,,
238,0.28244,0.89275,,,,
239,0.29293,0.89565,,,,
240,0.34371,0.87826,,,,
241,0.27353,0.89855,,,,
242,0.23699,0.91594,,,,
243,0.26698,0.90435,,,,
244,0.27038,0.91304,,,,
245,0.2392,0.90435,,,,
246,0.25073,0.92174,,,,
247,0.22662,0.93913,,,,
248,0.21761,0.92464,,,,
249,0.23013,0.92754,,,,
250,0.26488,0.90725,,,,
251,0.22431,0.91884,,,,
252,0.29591,0.90435,,,,
253,0.29208,0.90145,,,,
254,0.19749,0.93333,,,,
255,0.20686,0.92754,,,,
256,0.2495,0.91884,,,,
257,0.20943,0.93333,,,,
258,0.2249,0.92174,,,,
259,0.30313,0.89855,,,,
260,0.31987,0.90145,,,,
261,0.24607,0.90725,,,,
262,0.26063,0.91304,,,,
263,0.25169,0.90435,,,,
264,0.28986,0.89565,,,,
265,0.24051,0.92754,,,,
266,0.22608,0.93913,,,,
267,0.21483,0.94493,,,,
268,0.32695,0.88116,,,,
269,0.24056,0.91014,,,,
270,0.26563,0.91014,,,,
271,0.27221,0.90145,,,,
272,0.32778,0.90435,,,,
273,0.31877,0.90145,,,,
274,0.28803,0.89565,,,,
275,0.27597,0.90145,,,,
276,0.25028,0.91014,,,,
277,0.24703,0.90725,,,,
278,0.24444,0.91884,,,,
279,0.2654,0.91014,,,,
280,0.25842,0.91594,,,,
281,0.25976,0.92464,,,,
282,0.295,0.89565,,,,
283,0.22355,0.91594,,,,
284,0.20874,0.92754,,,,
285,0.27928,0.91014,,,,
286,0.24051,0.91594,,,,
287,0.26508,0.90435,,,,
288,0.25152,0.90435,,,,
289,0.2127,0.93333,,,,
290,0.27889,0.90145,,,,
291,0.26045,0.90145,,,,
292,0.22688,0.91884,,,,
293,0.26894,0.89855,,,,
294,0.25086,0.90725,,,,
295,0.22429,0.92174,,,,
296,0.24614,0.91304,,,,
297,0.2493,0.91014,,,,
298,0.25788,0.91594,,,,
299,0.25698,0.90725,,,,
300,0.28051,0.90435,0.32423,0.88986,,
301,0.31464,0.89565,,,,
302,0.25275,0.92464,,,,
303,0.2534,0.90725,,,,
304,0.27352,0.89565,,,,
305,0.21542,0.92754,,,,
306,0.30233,0.89565,,,,
307,0.30445,0.89275,,,,
308,0.27549,0.91014,,,,
309,0.25765,0.90725,,,,
310,0.27459,0.90725,,,,
311,0.27077,0.91304,,,,
312,0.26318,0.91594,,,,
313,0.27345,0.89275,,,,
314,0.27078,0.88696,,,,
315,0.26222,0.90725,,,,
316,0.20482,0.93043,,,,
317,0.26234,0.89275,,,,
318,0.32727,0.89855,,,,
319,0.3017,0.90435,,,,
320,0.26293,0.91884,,,,
321,0.2665,0.89855,,,,
322,0.2252,0.92174,,,,
323,0.29233,0.89855,,,,
324,0.29798,0.90725,,,,
325,0.2173,0.93623,,,,
326,0.26028,0.91304,,,,
327,0.24625,0.91304,,,,
328,0.25886,0.91014,,,,
329,0.33162,0.87826,,,,
330,0.27765,0.90725,,,,
331,0.27103,0.91014,,,,
332,0.27667,0.90145,,,,
333,0.30344,0.89855,,,,
334,0.3112,0.89855,,,,
335,0.25392,0.92464,,,,
336,0.21654,0.93623,,,,
337,0.26864,0.90725,,,,
338,0.21879,0.94203,,,,
339,0.28708,0.89565,,,,
340,0.22491,0.93043,,,,
341,0.21871,0.92754,,,,
342,0.24529,0.90435,,,,
343,0.21909,0.92464,,,,
344,0.2758,0.91304,,,,
345,0.24172,0.92464,,,,
346,0.27929,0.91304,,,,
347,0.31907,0.88986,,,,
